host_id,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,reviews_per_month,Smoke alarm,Carbon monoxide alarm,Essentials,Kitchen,Hot water,Hangers,Dishes and silverware,Hair dryer,Wifi,Microwave,Iron,Cooking basics,Refrigerator,Bed linens,Self check-in,Shampoo,Fire extinguisher,Free street parking,Private entrance,Extra pillows and blankets,Dedicated workspace,First aid kit,Freezer,Dishwasher,Toaster,Heating,Free parking on premises,Long term stays allowed,Oven,Wine glasses,Entire home/apt,Hotel room,Private room,Shared room
3736562,0.99,6,32.79429,-117.24269,2,1.0,1.0,1.0,219.0,1,1125,1,8,29,53,328,158,4.83,0,6,1.11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0
1291828,0.64,7,32.79647,-117.17435,2,1.0,1.0,1.0,110.0,31,365,1,0,8,38,313,58,4.7,0,6,0.43,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
1028287,1.0,8,32.745318351522904,-117.1388202,2,1.0,1.0,1.0,209.0,4,30,1,5,27,57,57,142,4.94,1,2,1.16,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0
3985912,1.0,1,32.84279,-117.27129,4,1.0,2.0,2.0,281.0,2,14,1,2,2,2,2,345,4.72,1,1,2.54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0
1502676,0.98,16,32.7505,-117.14171,4,1.0,1.0,1.0,201.0,2,1111,1,13,43,73,112,325,4.86,0,5,2.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0
4160438,1.0,4,32.70918,-117.15443,4,2.0,2.0,2.0,207.0,26,180,1,1,2,24,113,22,4.95,0,1,0.16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0
4173917,1.0,3,32.74651,-117.12751,6,2.0,2.0,3.0,350.0,31,60,1,26,26,26,201,63,4.89,0,1,0.45,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0
4200720,0.86,1,32.75994,-117.2489,6,1.0,2.0,5.0,399.0,2,1125,1,7,8,13,229,426,4.87,0,1,3.09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0
3310631,0.99,5,32.72267,-117.12399,4,1.0,1.0,2.0,142.0,31,1125,1,10,40,70,134,68,4.81,1,3,0.54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0
3547828,0.33,25,32.71724,-117.15306,1,1.0,1.0,1.0,48.0,31,365,1,0,24,54,93,3,5.0,0,23,0.05,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3969352,0.96,5,32.78608,-117.10822,4,1.0,1.0,1.0,160.0,31,1125,1,1,1,1,269,126,4.89,0,2,0.9,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0
129123,0.77,9,32.80691,-117.25604,6,1.0,2.0,2.0,239.0,4,1125,1,7,22,38,313,69,4.75,0,5,0.49,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
4316337,1.0,1,32.744736362381026,-117.1301191,2,1.0,1.0,1.0,139.0,2,28,1,9,26,49,324,543,4.94,0,1,4.06,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0
3066335,1.0,2,32.76817,-117.24933,4,2.0,2.0,2.0,350.0,31,1125,1,30,60,90,365,32,4.38,1,1,0.33,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
4371822,0.98,2,32.72521,-117.1274,4,1.0,1.0,2.0,131.0,3,28,1,0,4,19,76,580,4.88,0,1,4.19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0
2806365,1.0,4,32.78346,-117.10798,6,1.0,2.0,3.0,141.0,31,1125,1,0,8,8,192,35,4.86,0,1,0.26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
4706066,0.73,3,32.79113,-117.23302,2,1.0,1.0,1.0,69.0,3,1125,1,7,26,50,325,96,4.85,0,1,0.69,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
3142348,0.81,6,32.72904,-117.16486,2,1.0,1.0,1.0,89.0,31,1124,1,0,3,33,123,20,4.9,0,4,0.27,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
4849153,0.5,3,32.94909,-117.23244,2,1.0,1.0,1.0,90.0,31,365,1,0,0,0,208,27,4.84,0,1,0.19,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0
3102978,0.99,8,32.70683,-117.14059,3,1.0,1.0,2.0,123.0,3,365,1,8,12,12,12,354,4.58,1,3,2.55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
4934787,0.73,2,32.76313,-117.0798,1,1.0,1.0,1.0,40.0,31,1100,1,0,0,0,219,114,4.8,0,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0
2409798,1.0,15,32.82857,-117.27858,4,1.0,2.0,2.0,199.0,1,28,1,2,8,16,198,415,4.72,0,3,3.15,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2409798,1.0,15,32.82714,-117.27705,2,1.0,1.0,1.0,144.0,1,730,1,2,3,11,95,610,4.77,1,3,4.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0
562621,0.62,13,32.70775,-117.16069,2,1.0,1.0,2.0,240.0,31,365,1,30,60,90,365,23,4.48,0,1,0.17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0
8184593,0.81,23,32.79923,-117.25734,6,1.0,1.0,4.0,498.0,3,1125,1,14,42,66,333,16,4.81,0,20,0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0
5325745,0.65,2,32.83126,-117.27444,6,2.0,2.0,3.0,423.0,3,30,1,17,47,77,77,50,4.86,0,2,0.42,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0
8184593,0.81,23,32.8009,-117.25708,6,1.0,1.0,2.0,498.0,3,1125,1,14,44,74,346,34,4.79,0,20,0.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0
